Education,Marital_Status,Income,NumDealsPurchases,Age,Kids,Days_Enrolled,Total_Spend,CouponsAccepted,Total_Purchases,Recency_
Graduation,Single,0.28819509310924285,0.34873830847686393,"(60, 70]",-1.2643075685916398,1.5297928936300083,1.6801762967900862,0.620456284795802,1.3120796930482794,4.142857142857143
Graduation,Single,-0.2627150469011971,-0.16869955333751413,"(60, 70]",1.3951390197158926,-1.1911428188072186,-0.962202397164591,-0.5019872854334967,-1.1861975084753817,2.7142857142857144
Graduation,Relationship,0.9176265104944115,-0.6861374151518922,"(50, 60]",-1.2643075685916398,-0.2066588064890219,0.28254077376122866,-0.5019872854334967,1.0344933373234282,1.8571428571428572
Graduation,Relationship,-1.1828293370424254,-0.16869955333751413,"(30,40]",0.0654157255621263,-1.0625167669465496,-0.9189936889615585,-0.5019872854334967,-0.9086111527505305,1.8571428571428572
PhD,Relationship,0.29543530607359914,1.38361403210562,"(40,50]",0.0654157255621263,-0.9536793384490606,-0.3057624071569825,-0.5019872854334967,0.20173427014887443,6.714285714285714
Master,Relationship,0.4925559429096223,-0.16869955333751413,"(50, 60]",0.0654157255621263,-0.3006547674641261,0.18282837021576914,-0.5019872854334967,1.0344933373234282,1.1428571428571428
Graduation,Single,0.17127733149773436,0.8661761702912419,"(50, 60]",0.0654157255621263,1.1834919847743612,-0.026567677229695844,-0.5019872854334967,0.6181138037361513,2.4285714285714284
PhD,Relationship,-0.8648204992273436,-0.16869955333751413,"(30,40]",0.0654157255621263,0.3127925567944487,-0.7262163754403368,-0.5019872854334967,-0.6310247970256793,2.2857142857142856
PhD,Relationship,-1.0097648916686184,-0.6861374151518922,"(40,50]",0.0654157255621263,0.1693250374113949,-0.9306268027085288,0.620456284795802,-1.0474043306129561,1.3571428571428572
PhD,Relationship,-2.163667993981481,-0.6861374151518922,70,1.3951390197158926,-1.2158785980111932,-0.9256411825312558,0.620456284795802,-1.6025770420626586,4.857142857142857
Graduation,Relationship,0.035132070577050416,-0.6861374151518922,"(40,50]",0.0654157255621263,-0.6321142087973883,-0.9754973843039856,-0.5019872854334967,-1.3249906863378074,0.7857142857142857
Basic,Relationship,-2.077159126820269,-0.6861374151518922,"(40,50]",-1.2643075685916398,1.1834919847743612,-0.9056987018221639,-0.5019872854334967,-1.0474043306129561,4.214285714285714
